task_id,sampling,checkpoint,test_overall_pearson,gretz_pearson,gretz_spearman,swanson_pearson,swanson_spearman,toledo_pearson,toledo_spearman,ukp_pearson,ukp_spearman,webis_pearson,webis_spearman,test_loss
STLAS_only_toledo,in-topic,experiments/version_24-02-2022--10-34-07/checkpoints,0.4001,0.4105,0.3909,0.3103,0.3372,0.4993,0.4798,0.2575,0.3696,0.1977,0.2096,0.0726
STLAS_only_swanson,in-topic,experiments/version_24-02-2022--10-32-00/checkpoints,0.315,0.2289,0.1655,0.6374,0.6081,0.3135,0.2173,0.5696,0.4718,0.5405,0.5476,0.0449
STLAS_only_gretz,in-topic,experiments/version_24-02-2022--10-26-29/checkpoints,0.5007,0.503,0.4449,0.4549,0.4928,0.436,0.4132,0.4345,0.484,0.4265,0.3523,0.0355
STLAS_only_ukp,in-topic,experiments/version_24-02-2022--10-36-24/checkpoints,0.0585,0.0165,-0.0004,0.4435,0.3869,-0.176,-0.2124,0.3942,0.3013,0.5411,0.4703,0.0635
STLAS_only_toledo,in-topic,experiments/version_24-02-2022--10-38-16/checkpoints,0.4102,0.4195,0.3903,0.3246,0.3495,0.5001,0.4773,0.3158,0.395,0.3062,0.3179,0.0691
STLAS_only_ukp,in-topic,experiments/version_24-02-2022--10-40-57/checkpoints,0.1343,0.1241,0.1016,0.4176,0.3985,-0.0472,-0.0892,0.4148,0.3144,0.5253,0.469,0.0673
STLAS_only_swanson,in-topic,experiments/version_24-02-2022--10-39-17/checkpoints,0.3091,0.2307,0.1587,0.6481,0.6176,0.2796,0.1684,0.5341,0.466,0.5685,0.5529,0.0475
STLAS_only_toledo,in-topic,experiments/version_24-02-2022--10-43-05/checkpoints,0.4062,0.4119,0.3866,0.2645,0.2746,0.5118,0.4787,0.3321,0.3816,0.2321,0.2833,0.0756
STLAS_only_ukp,in-topic,experiments/version_24-02-2022--10-46-01/checkpoints,0.1528,0.1524,0.1158,0.495,0.4623,0.0543,0.0136,0.4033,0.3273,0.4752,0.4199,0.0654
STLAS_only_gretz,in-topic,experiments/version_24-02-2022--10-39-58/checkpoints,0.5025,0.5037,0.4488,0.4618,0.4815,0.4413,0.4207,0.4301,0.4855,0.4507,0.3964,0.0359
STLAS_only_toledo,in-topic,experiments/version_24-02-2022--10-48-16/checkpoints,0.4146,0.4145,0.3855,0.3308,0.3423,0.5034,0.47,0.2565,0.4111,0.2048,0.2162,0.0665
STLAS_only_swanson,in-topic,experiments/version_24-02-2022--10-46-01/checkpoints,0.3093,0.2264,0.1603,0.6525,0.6201,0.2946,0.1963,0.5482,0.4282,0.5355,0.5338,0.0489
STLAS_only_ukp,in-topic,experiments/version_24-02-2022--10-50-38/checkpoints,0.1205,0.1148,0.101,0.4468,0.4014,0.0027,-0.0377,0.2938,0.2872,0.4952,0.466,0.0659
STLAS_only_toledo,in-topic,experiments/version_24-02-2022--10-52-21/checkpoints,0.4108,0.4191,0.3906,0.3596,0.3839,0.5032,0.4811,0.3045,0.3928,0.3051,0.3124,0.0668
STLAS_only_ukp,in-topic,experiments/version_24-02-2022--10-55-30/checkpoints,0.1196,0.1042,0.0842,0.4472,0.4003,-0.0319,-0.0731,0.4135,0.2788,0.5247,0.4751,0.0663
STLAS_only_toledo,cross-topic,experiments/version_24-02-2022--10-57-11/checkpoints,0.371,0.3473,0.3222,0.302,0.3159,0.3071,0.2946,0.2831,0.3984,0.14,0.1682,0.0639
STLAS_only_swanson,in-topic,experiments/version_24-02-2022--10-53-17/checkpoints,0.3089,0.2187,0.1511,0.6536,0.6207,0.2922,0.1833,0.5478,0.4744,0.5263,0.5154,0.0464
STLAS_only_toledo,cross-topic,experiments/version_24-02-2022--10-59-52/checkpoints,0.3318,0.3962,0.3688,0.2671,0.2759,0.4835,0.4543,0.4235,0.5162,0.4933,0.5359,0.0811
STLAS_only_ukp,cross-topic,experiments/version_24-02-2022--10-59-54/checkpoints,0.0022,-0.041,-0.056,0.2831,0.2547,-0.1668,-0.1822,0.1719,-0.0328,0.4679,0.3583,0.0746
STLAS_only_gretz,in-topic,experiments/version_24-02-2022--10-51-09/checkpoints,0.5002,0.5009,0.4434,0.4609,0.504,0.4413,0.4144,0.4804,0.4961,0.459,0.3966,0.0358
STLAS_only_swanson,in-topic,experiments/version_24-02-2022--11-00-29/checkpoints,0.3105,0.2358,0.1618,0.6432,0.6119,0.2944,0.179,0.5524,0.498,0.568,0.5477,0.0479
STLAS_only_toledo,cross-topic,experiments/version_24-02-2022--11-04-32/checkpoints,0.3944,0.4175,0.3845,0.2591,0.2491,0.3486,0.3367,0.2846,0.1775,0.106,0.1442,0.0601
STLAS_only_ukp,cross-topic,experiments/version_24-02-2022--11-05-14/checkpoints,0.1063,0.0769,0.0575,0.1823,0.2127,-0.0348,-0.0641,0.4462,0.5146,0.6302,0.56,0.0764
STLAS_only_swanson,cross-topic,experiments/version_24-02-2022--11-07-22/checkpoints,0.3456,0.235,0.1715,0.407,0.3858,0.2081,0.1097,0.4109,0.2708,0.5607,0.4853,0.0545
STLAS_only_toledo,cross-topic,experiments/version_24-02-2022--11-09-04/checkpoints,0.4453,0.344,0.3238,0.3635,0.3635,0.4582,0.4308,0.1309,0.2451,0.1411,0.2317,0.0642
STLAS_only_ukp,cross-topic,experiments/version_24-02-2022--11-10-21/checkpoints,0.0315,0.1047,0.0692,0.2649,0.2639,-0.0038,-0.0287,0.2108,0.3981,0.5335,0.4321,0.0864
STLAS_only_toledo,cross-topic,experiments/version_24-02-2022--11-12-29/checkpoints,0.3815,0.3598,0.3385,0.4377,0.4421,0.3204,0.3114,0.312,0.4363,0.5017,0.5624,0.0683
STLAS_only_gretz,in-topic,experiments/version_24-02-2022--11-05-41/checkpoints,0.5033,0.504,0.4473,0.4766,0.5019,0.4339,0.4186,0.3983,0.4816,0.4189,0.3498,0.0363
STLAS_only_swanson,cross-topic,experiments/version_24-02-2022--11-12-25/checkpoints,0.3154,0.2112,0.1329,0.367,0.3492,0.296,0.1886,0.4826,0.4176,0.6757,0.6412,0.058
STLAS_only_ukp,cross-topic,experiments/version_24-02-2022--11-15-15/checkpoints,0.1653,0.0831,0.0657,0.3971,0.4142,-0.0543,-0.0901,0.3992,0.345,0.4973,0.3921,0.0943
STLAS_only_ukp,cross-topic,experiments/version_24-02-2022--11-20-53/checkpoints,0.1304,0.0664,0.0457,0.3877,0.3807,-0.0783,-0.1201,0.1051,0.3509,0.5869,0.4811,0.0959
STLAS_only_swanson,cross-topic,experiments/version_24-02-2022--11-19-22/checkpoints,0.3038,0.1992,0.1302,0.4126,0.3932,0.2309,0.1314,0.2268,0.3529,0.6033,0.5751,0.0565
STLAS_only_swanson,cross-topic,experiments/version_24-02-2022--11-27-48/checkpoints,0.3929,0.1764,0.1531,0.5076,0.5023,0.2228,0.184,0.2913,0.3539,0.1659,0.1688,0.0629
STLAS_only_gretz,in-topic,experiments/version_24-02-2022--11-19-15/checkpoints,0.5064,0.5072,0.451,0.4752,0.5011,0.4433,0.4149,0.4769,0.4895,0.4679,0.4223,0.036
STLAS_only_swanson,cross-topic,experiments/version_24-02-2022--11-30-40/checkpoints,0.4957,0.266,0.1842,0.6142,0.6198,0.2462,0.2178,0.3382,0.5754,0.7277,0.6828,0.0552
STLAS_only_gretz,cross-topic,experiments/version_24-02-2022--11-33-49/checkpoints,0.4511,0.4842,0.4267,0.308,0.3037,0.4092,0.4284,0.444,0.5325,0.5296,0.4468,0.0452
STLAS_only_gretz,cross-topic,experiments/version_24-02-2022--11-48-21/checkpoints,0.4696,0.4986,0.4368,0.3593,0.3622,0.4814,0.4553,0.4906,0.5577,0.6567,0.6003,0.0416
STLAS_only_gretz,cross-topic,experiments/version_24-02-2022--12-07-07/checkpoints,0.4275,0.484,0.4289,0.2743,0.2681,0.4236,0.4429,0.382,0.3896,0.4843,0.4085,0.0511
STLAS_LOO_swanson,in-topic,experiments/version_24-02-2022--12-05-02/checkpoints,0.457,0.3995,0.3323,0.4962,0.4778,0.3498,0.3352,0.3036,0.3881,0.4291,0.4429,0.0366
STLAS_LOO_toledo,cross-topic,experiments/version_24-02-2022--12-12-57/checkpoints,0.4734,0.4809,0.4224,0.3886,0.3652,0.3919,0.4072,0.275,0.3628,0.4444,0.3278,0.0434
STLAS_only_gretz,cross-topic,experiments/version_24-02-2022--12-19-09/checkpoints,0.5614,0.4752,0.4274,0.4956,0.4931,0.4907,0.4855,0.2993,0.4967,0.5213,0.4806,0.0479
STLAS_only_gretz,cross-topic,experiments/version_24-02-2022--12-36-11/checkpoints,0.5855,0.5089,0.4478,0.5221,0.5217,0.3647,0.3642,0.3639,0.5525,0.6912,0.6259,0.046
STLAS_LOO_swanson,in-topic,experiments/version_24-02-2022--12-27-08/checkpoints,0.4612,0.4017,0.332,0.505,0.4911,0.3352,0.3208,0.3078,0.414,0.4587,0.4716,0.0361
STLAS_LOO_toledo,cross-topic,experiments/version_24-02-2022--12-29-21/checkpoints,0.4725,0.444,0.3966,0.3902,0.3709,0.4592,0.4454,0.3416,0.3269,0.4852,0.4063,0.0415
STLAS_LOO_toledo,cross-topic,experiments/version_24-02-2022--12-52-30/checkpoints,0.4429,0.4698,0.4181,0.3424,0.324,0.4258,0.4295,0.1644,0.3587,0.3789,0.242,0.0497
STLAS_LOO_swanson,in-topic,experiments/version_24-02-2022--12-49-34/checkpoints,0.4602,0.4006,0.3284,0.462,0.4339,0.3542,0.3409,0.3662,0.4326,0.4556,0.476,0.0375
STLAS_LOO_toledo,cross-topic,experiments/version_24-02-2022--13-08-08/checkpoints,0.5896,0.4574,0.4075,0.5623,0.5595,0.4674,0.4588,0.2959,0.3201,0.2194,0.1351,0.0454
STLAS_LOO_gretz,in-topic,experiments/version_24-02-2022--12-49-18/checkpoints,0.324,0.2468,0.19,0.6113,0.5747,0.4528,0.4303,0.3451,0.4439,0.4836,0.519,0.0571
STLAS_LOO_swanson,in-topic,experiments/version_24-02-2022--13-17-35/checkpoints,0.4656,0.4069,0.3415,0.5085,0.4808,0.348,0.3364,0.3155,0.4026,0.4303,0.4615,0.0358
STLAS_LOO_toledo,cross-topic,experiments/version_24-02-2022--13-27-19/checkpoints,0.5977,0.4744,0.4065,0.5835,0.5843,0.3527,0.3444,0.0951,0.3379,0.4938,0.42,0.0416
STLAS_LOO_swanson,in-topic,experiments/version_24-02-2022--13-41-21/checkpoints,0.4715,0.415,0.3452,0.4936,0.477,0.3371,0.3226,0.3475,0.4448,0.4291,0.4575,0.0358
STLAS_LOO_gretz,in-topic,experiments/version_24-02-2022--13-27-56/checkpoints,0.3103,0.2402,0.1945,0.6182,0.5866,0.4536,0.4413,0.353,0.4516,0.5111,0.5467,0.0647
STLAS_LOO_swanson,cross-topic,experiments/version_24-02-2022--14-04-10/checkpoints,0.4649,0.4725,0.4107,0.3385,0.325,0.4015,0.3924,0.1815,0.2539,0.367,0.2997,0.0421
STLAS_LOO_swanson,cross-topic,experiments/version_24-02-2022--14-17-11/checkpoints,0.4623,0.4174,0.359,0.3478,0.3363,0.4159,0.3924,0.25,0.2442,0.4802,0.415,0.04
STLAS_LOO_gretz,in-topic,experiments/version_24-02-2022--14-08-49/checkpoints,0.3284,0.2538,0.1991,0.6247,0.5879,0.4316,0.4048,0.3624,0.494,0.5075,0.5479,0.0596
STLAS_LOO_swanson,cross-topic,experiments/version_24-02-2022--14-34-32/checkpoints,0.491,0.4448,0.3853,0.2525,0.249,0.4142,0.4109,0.1233,0.1739,0.3615,0.2673,0.0445
STLAS_LOO_swanson,cross-topic,experiments/version_24-02-2022--14-53-20/checkpoints,0.5683,0.4061,0.3598,0.3983,0.3974,0.4286,0.4116,0.2604,0.3351,0.2547,0.1701,0.0423
STLAS_LOO_ukp,in-topic,experiments/version_24-02-2022--14-57-14/checkpoints,0.4746,0.4212,0.3539,0.5856,0.5558,0.3695,0.3366,0.5637,0.498,0.4521,0.4693,0.0353
STLAS_LOO_gretz,in-topic,experiments/version_24-02-2022--14-44-58/checkpoints,0.2995,0.2218,0.1754,0.625,0.5817,0.4265,0.4034,0.3755,0.5344,0.5035,0.5282,0.0652
STLAS_LOO_swanson,cross-topic,experiments/version_24-02-2022--15-13-15/checkpoints,0.5579,0.4047,0.3468,0.3909,0.3855,0.3048,0.2987,0.0719,0.1057,0.4623,0.4334,0.0418
STLAS_LOO_ukp,in-topic,experiments/version_24-02-2022--15-13-34/checkpoints,0.4743,0.4141,0.3462,0.6149,0.5855,0.3911,0.3709,0.56,0.5484,0.5177,0.5379,0.0362
STLAS_LOO_ukp,in-topic,experiments/version_24-02-2022--15-38-31/checkpoints,0.46,0.3973,0.326,0.6108,0.5726,0.3687,0.3398,0.613,0.5452,0.4961,0.5116,0.0372
STLAS_LOO_gretz,in-topic,experiments/version_24-02-2022--15-23-08/checkpoints,0.3164,0.2453,0.1937,0.6284,0.5868,0.442,0.4174,0.381,0.499,0.4927,0.5286,0.0594
