task_id,sampling,checkpoint,test_overall_pearson,gretz_pearson,gretz_spearman,swanson_pearson,swanson_spearman,toledo_pearson,toledo_spearman,ukp_pearson,ukp_spearman,webis_pearson,webis_spearman,test_loss
MTLAS,balanced,experiments/version_16-03-2022--19-16-44/checkpoints,0.6919,0.3812,0.3585,0.5255,0.4988,0.3849,0.4252,0.5839,0.3798,0.7349,0.8043,0.0371
STLAS_LOO_toledo,balanced,experiments/version_16-03-2022--19-18-25/checkpoints,0.5221,0.2704,0.1811,0.5591,0.5298,0.0952,-0.0353,0.3921,0.1713,0.5168,0.4646,0.0514
MTLAS,balanced,experiments/version_16-03-2022--19-53-51/checkpoints,0.695,0.4069,0.3777,0.5565,0.5276,0.4989,0.509,0.5427,0.4063,0.7508,0.7978,0.0302
STLAS_LOO_toledo,balanced,experiments/version_16-03-2022--20-01-08/checkpoints,0.452,0.1122,0.1784,0.5544,0.5268,0.2328,0.1372,0.3725,0.2251,0.4672,0.4046,0.0494
MTLAS,balanced,experiments/version_16-03-2022--20-30-46/checkpoints,0.6913,0.4083,0.3891,0.5391,0.4409,0.3875,0.4009,0.5938,0.453,0.796,0.8322,0.0313
STLAS_LOO_toledo,balanced,experiments/version_16-03-2022--20-42-04/checkpoints,0.4414,0.1606,0.1701,0.5845,0.4677,0.1681,0.1063,0.4858,0.2988,0.4755,0.3964,0.0527
STLAS_LOO_toledo_topic,balanced,experiments/version_16-03-2022--21-20-44/checkpoints,0.5864,0.3558,0.3829,0.519,0.4778,-0.0308,-0.0317,0.4771,0.2267,0.757,0.8306,0.0488
MTLAS_topic,balanced,experiments/version_16-03-2022--21-15-21/checkpoints,0.7015,0.3644,0.3843,0.5808,0.5368,0.4386,0.4888,0.6451,0.368,0.7585,0.8146,0.0365
STLAS_LOO_toledo_topic,balanced,experiments/version_16-03-2022--21-51-36/checkpoints,0.5915,0.2889,0.3298,0.6087,0.5569,0.0398,0.0097,0.4488,0.2384,0.756,0.807,0.0412
MTLAS_topic,balanced,experiments/version_16-03-2022--21-57-53/checkpoints,0.6851,0.332,0.3008,0.6143,0.611,0.5123,0.4837,0.5289,0.2394,0.7547,0.8205,0.031
STLAS_LOO_toledo_topic,balanced,experiments/version_16-03-2022--22-31-28/checkpoints,0.5553,0.2743,0.2719,0.5774,0.4698,0.1446,-0.0112,0.5005,0.3846,0.8101,0.851,0.0483
MTLAS_topic,balanced,experiments/version_16-03-2022--22-32-44/checkpoints,0.6965,0.3868,0.3964,0.5611,0.4203,0.3587,0.352,0.5954,0.3633,0.8206,0.855,0.0309
MTLAS_LOO_toledo,balanced,experiments/version_16-03-2022--23-11-14/checkpoints,0.7097,0.3934,0.3687,0.532,0.4721,0.6015,0.3453,0.7306,0.8032,0.0312,,
MTLAS_LOO_toledo,balanced,experiments/version_16-03-2022--23-43-47/checkpoints,0.6972,0.3552,0.3473,0.5699,0.5448,0.6005,0.3943,0.6948,0.7762,0.03,,
STLAS,balanced,experiments/version_16-03-2022--23-18-06/checkpoints,0.5398,0.1865,0.127,0.5547,0.5297,0.1736,0.1385,0.337,0.1986,0.6054,0.6272,0.049
MTLAS_LOO_toledo,balanced,experiments/version_17-03-2022--00-21-01/checkpoints,0.7169,0.4016,0.3638,0.5724,0.4428,0.6377,0.4461,0.8082,0.8256,0.0279,,
MTLAS_LOO_toledo_topic,balanced,experiments/version_17-03-2022--01-10-30/checkpoints,0.6998,0.3481,0.3509,0.5312,0.4762,0.5073,0.2344,0.7373,0.8097,0.0318,,
STLAS,balanced,experiments/version_17-03-2022--00-34-46/checkpoints,0.4913,0.187,0.1641,0.5671,0.552,0.1106,0.1251,0.312,0.2357,0.5419,0.5231,0.0488
MTLAS_LOO_toledo_topic,balanced,experiments/version_17-03-2022--01-35-15/checkpoints,0.6956,0.3186,0.2995,0.6382,0.6301,0.5566,0.177,0.7108,0.7978,0.0306,,
MTLAS_LOO_toledo_topic,balanced,experiments/version_17-03-2022--02-05-00/checkpoints,0.7069,0.3604,0.346,0.5448,0.3996,0.6253,0.4339,0.8183,0.8371,0.0286,,
STLAS,balanced,experiments/version_17-03-2022--01-49-41/checkpoints,0.5262,0.2355,0.1679,0.6348,0.5275,0.1074,0.049,0.4414,0.2867,0.5747,0.5464,0.0441
STLAS_topic,balanced,experiments/version_17-03-2022--02-55-56/checkpoints,0.6904,0.3621,0.3969,0.5232,0.4688,0.3545,0.3756,0.3118,0.2367,0.7593,0.8229,0.0377
STLAS_LOO_swason,balanced,experiments/version_17-03-2022--02-45-03/checkpoints,0.5398,0.1865,0.127,0.5547,0.5297,0.1736,0.1385,0.337,0.1986,0.6054,0.6272,0.049
STLAS_topic,balanced,experiments/version_17-03-2022--03-46-29/checkpoints,0.6724,0.2639,0.2703,0.5738,0.4983,0.4993,0.4953,0.3436,0.2927,0.7616,0.8053,0.0324
STLAS_LOO_swason,balanced,experiments/version_17-03-2022--04-01-30/checkpoints,0.4913,0.187,0.1641,0.5671,0.552,0.1106,0.1251,0.312,0.2357,0.5419,0.5231,0.0488
STLAS_topic,balanced,experiments/version_17-03-2022--04-57-21/checkpoints,0.6845,0.2789,0.2859,0.5754,0.4724,0.2987,0.2824,0.4141,0.2819,0.8166,0.8577,0.0326
STLAS_LOO_swason,balanced,experiments/version_17-03-2022--05-16-18/checkpoints,0.5262,0.2355,0.1679,0.6348,0.5275,0.1074,0.049,0.4414,0.2867,0.5747,0.5464,0.0441
STLAS_LOO_gretz,balanced,experiments/version_17-03-2022--05-54-08/checkpoints,0.4554,0.1152,0.0877,0.5374,0.5015,0.1751,0.1414,0.3122,0.1684,0.6554,0.6694,0.057
STLAS_LOO_swanson_topic,balanced,experiments/version_17-03-2022--06-23-08/checkpoints,0.6564,0.4046,0.4268,0.2936,0.3726,0.3706,0.3824,0.2718,0.2776,0.7598,0.8216,0.042
STLAS_LOO_gretz,balanced,experiments/version_17-03-2022--06-47-50/checkpoints,0.3932,0.0957,0.0803,0.5707,0.5676,0.1921,0.2576,0.3501,0.2511,0.6361,0.6559,0.0745
STLAS_LOO_swanson_topic,balanced,experiments/version_17-03-2022--07-10-56/checkpoints,0.6333,0.2467,0.2539,0.3284,0.3333,0.5276,0.533,0.2555,0.2886,0.7207,0.8009,0.0367
STLAS_LOO_gretz,balanced,experiments/version_17-03-2022--07-46-37/checkpoints,0.4159,0.1159,0.0881,0.6328,0.5429,-0.0365,-0.1023,0.4221,0.2864,0.6133,0.5751,0.0566
