ukp_pearson,ukp_spearman,toledo_pearson,toledo_spearman,webis_pearson,webis_spearman,swanson_pearson,swanson_spearman,gretz_pearson,gretz_spearman,task_name,sampling,aggregation_method
0.5168,0.5024,0.4576,0.4397,0.673,0.6979,0.6029,0.6021,0.4754,0.4269,MTLAS,in-topic,mean
0.5423,0.4719,0.2157,0.2001,0.4422,0.462,0.463,0.5196,0.3105,0.3278,MTLAS,in-topic,var
0.4922,0.4626,0.457,0.4414,0.6626,0.6446,0.5912,0.5918,0.4469,0.3997,MTLAS,in-topic,wt-var
0.5958,0.6011,0.4971,0.4506,0.7175,0.7447,0.6248,0.6205,0.493,0.4445,MTLAS_topic,in-topic,mean
0.6061,0.4681,0.2494,0.1278,0.5011,0.6018,0.4567,0.4799,0.3313,0.298,MTLAS_topic,in-topic,var
0.5298,0.521,0.4664,0.4469,0.6752,0.7019,0.6017,0.6028,0.473,0.4244,MTLAS,in-topic,mean
0.5951,0.5268,0.4154,0.3114,0.7079,0.7156,0.5842,0.6024,0.4686,0.4102,MTLAS_topic,in-topic,wt-var
0.517,0.4541,0.269,0.2411,0.5226,0.5136,0.4589,0.4944,0.307,0.3256,MTLAS,in-topic,var
0.5155,0.5476,0.4485,0.4365,0.6258,0.6281,0.6039,0.6092,0.4554,0.3992,MTLAS,in-topic,wt-var
0.402,0.69,0.3574,0.3375,0.7976,0.7921,0.6171,0.624,0.4717,0.4101,MTLAS,cross-topic,mean
0.5969,0.5838,0.4962,0.4537,0.7219,0.7495,0.6242,0.6179,0.4938,0.4445,MTLAS_topic,in-topic,mean
0.2586,0.5811,0.1683,0.0559,0.5949,0.5045,0.3982,0.4466,0.2748,0.1804,MTLAS,cross-topic,var
0.6325,0.4875,0.2192,0.1589,0.5102,0.6228,0.4416,0.4282,0.3187,0.2987,MTLAS_topic,in-topic,var
0.3987,0.6965,0.3422,0.3225,0.779,0.753,0.5932,0.5988,0.449,0.3861,MTLAS,cross-topic,wt-var
0.6125,0.5871,0.43,0.3457,0.7114,0.7372,0.5834,0.5974,0.4658,0.4058,MTLAS_topic,in-topic,wt-var
0.4179,0.594,0.3499,0.3275,0.7995,0.8015,0.588,0.5956,0.4508,0.3965,MTLAS_topic,cross-topic,mean
0.4037,0.6848,0.3587,0.3421,0.7969,0.794,0.6165,0.6225,0.47,0.4078,MTLAS,cross-topic,mean
0.2364,0.5511,0.1056,-0.0142,0.5825,0.5853,0.3032,0.3083,0.2615,0.181,MTLAS_topic,cross-topic,var
0.218,0.5517,0.1435,0.018,0.5827,0.5299,0.394,0.449,0.284,0.1949,MTLAS,cross-topic,var
0.4311,0.6453,0.3151,0.2785,0.7749,0.7551,0.5531,0.5568,0.4328,0.3792,MTLAS_topic,cross-topic,wt-var
0.3821,0.6894,0.3229,0.3004,0.7818,0.7619,0.5821,0.5846,0.4533,0.3926,MTLAS,cross-topic,wt-var
